wavelength,n
2e-07,1.396
2.25e-07,1.373
2.5e-07,1.362
2.75e-07,1.354
3e-07,1.349
3.25e-07,1.346
3.5e-07,1.343
3.75e-07,1.341
4e-07,1.339
4.25e-07,1.338
4.5e-07,1.337
4.75e-07,1.336
5e-07,1.335
5.25e-07,1.334
5.5e-07,1.333
5.75e-07,1.333
6e-07,1.332
6.25e-07,1.332
6.5e-07,1.331
6.75e-07,1.331
7e-07,1.331
7.25e-07,1.33
7.5e-07,1.33
7.75e-07,1.33
8e-07,1.329
8.25e-07,1.329
8.5e-07,1.329
8.75e-07,1.328
9e-07,1.328
9.25e-07,1.328
9.5e-07,1.327
9.75e-07,1.327
1e-06,1.327
1.2e-06,1.324
1.4e-06,1.321
1.6e-06,1.317
1.8e-06,1.312
2e-06,1.306
2.2e-06,1.296
2.4e-06,1.279
2.6e-06,1.242
2.65e-06,1.219
2.7e-06,1.188
2.75e-06,1.157
2.8e-06,1.142
2.85e-06,1.149
2.9e-06,1.201
2.95e-06,1.292
3e-06,1.371
3.05e-06,1.426
3.1e-06,1.467
3.15e-06,1.483
3.2e-06,1.478
3.25e-06,1.467
3.3e-06,1.45
3.35e-06,1.432
3.4e-06,1.42
3.45e-06,1.41
3.5e-06,1.4
3.6e-06,1.385
3.7e-06,1.374
3.8e-06,1.364
3.9e-06,1.357
4e-06,1.351
4.1e-06,1.346
4.2e-06,1.342
4.3e-06,1.338
4.4e-06,1.334
4.5e-06,1.332
4.6e-06,1.33
4.7e-06,1.33
4.8e-06,1.33
4.9e-06,1.328
5e-06,1.325
5.1e-06,1.322
5.2e-06,1.317
5.3e-06,1.312
5.4e-06,1.305
5.5e-06,1.298
5.6e-06,1.289
5.7e-06,1.277
5.8e-06,1.262
5.9e-06,1.248
6e-06,1.265
6.1e-06,1.319
6.2e-06,1.363
6.3e-06,1.357
6.4e-06,1.347
6.5e-06,1.339
6.6e-06,1.334
6.7e-06,1.329
6.8e-06,1.324
6.9e-06,1.321
7e-06,1.317
7.1e-06,1.314
7.2e-06,1.312
7.3e-06,1.309
7.4e-06,1.307
7.5e-06,1.304
7.6e-06,1.302
7.7e-06,1.299
7.8e-06,1.297
7.9e-06,1.294
8e-06,1.291
8.2e-06,1.286
8.4e-06,1.281
8.6e-06,1.275
8.8e-06,1.269
9e-06,1.262
9.2e-06,1.255
9.4e-06,1.247
9.6e-06,1.239
9.8e-06,1.229
1e-05,1.218
1.05e-05,1.185
1.1e-05,1.153
1.15e-05,1.126
1.2e-05,1.111
1.25e-05,1.123
1.3e-05,1.146
1.35e-05,1.177
1.4e-05,1.21
1.45e-05,1.241
1.5e-05,1.27
1.55e-05,1.297
1.6e-05,1.325
1.65e-05,1.351
1.7e-05,1.376
1.75e-05,1.401
1.8e-05,1.423
1.85e-05,1.443
1.9e-05,1.461
1.95e-05,1.476
2e-05,1.48
2.1e-05,1.487
2.2e-05,1.5
2.3e-05,1.511
2.4e-05,1.521
2.5e-05,1.531
2.6e-05,1.539
2.7e-05,1.545
2.8e-05,1.549
2.9e-05,1.551
3e-05,1.551
3.2e-05,1.546
3.4e-05,1.536
3.6e-05,1.527
3.8e-05,1.522
4e-05,1.519
4.2e-05,1.522
4.4e-05,1.53
4.6e-05,1.541
4.8e-05,1.555
5e-05,1.587
6e-05,1.703
7e-05,1.821
8e-05,1.886
9e-05,1.924
0.0001,1.957
0.00011,1.966
0.00012,2.004
0.00013,2.036
0.00014,2.056
0.00015,2.069
0.00016,2.081
0.00017,2.094
0.00018,2.107
0.00019,2.119
0.0002,2.13
