wavelength,k
1.53941e-15,8e-05
1.54036e-15,8e-05
1.54131e-15,8e-05
1.54226e-15,8e-05
1.54321e-15,8e-05
1.54416e-15,8e-05
1.54512e-15,8e-05
1.54607e-15,8e-05
1.54703e-15,8e-05
1.54799e-15,8e-05
1.54895e-15,8e-05
1.54991e-15,8e-05
1.55087e-15,8e-05
1.55183e-15,8e-05
1.5528e-15,8e-05
1.55376e-15,8e-05
1.55473e-15,8e-05
1.55569e-15,8e-05
1.55666e-15,8e-05
1.55763e-15,9e-05
1.5586e-15,9e-05
1.55958e-15,9e-05
1.56055e-15,9e-05
1.56152e-15,9e-05
1.5625e-15,9e-05
1.56348e-15,9e-05
1.56446e-15,9e-05
1.56544e-15,9e-05
1.56642e-15,9e-05
1.5674e-15,9e-05
1.56838e-15,9e-05
1.56937e-15,9e-05
1.57035e-15,9e-05
1.57134e-15,9e-05
1.57233e-15,9e-05
1.57332e-15,9e-05
1.57431e-15,9e-05
1.5753e-15,9e-05
1.57629e-15,9e-05
1.57729e-15,9e-05
1.57828e-15,9e-05
1.57928e-15,9e-05
1.58028e-15,9e-05
1.58128e-15,9e-05
1.58228e-15,9e-05
1.58328e-15,9e-05
1.58428e-15,9e-05
1.58529e-15,9e-05
1.58629e-15,9e-05
1.5873e-15,9e-05
1.58831e-15,9e-05
1.58932e-15,9e-05
1.59033e-15,9e-05
1.59134e-15,9e-05
1.59236e-15,9e-05
1.59337e-15,9e-05
1.59439e-15,9e-05
1.59541e-15,9e-05
1.59642e-15,9e-05
1.59744e-15,9e-05
1.59847e-15,9e-05
1.59949e-15,9e-05
1.60051e-15,9e-05
1.60154e-15,9e-05
1.60256e-15,9e-05
1.60359e-15,9e-05
1.60462e-15,9e-05
1.60565e-15,9e-05
1.60668e-15,9e-05
1.60772e-15,9e-05
1.60875e-15,9e-05
1.60979e-15,9e-05
1.61082e-15,9e-05
1.61186e-15,9e-05
1.6129e-15,9e-05
1.61394e-15,9e-05
1.61499e-15,0.0001
1.61603e-15,0.0001
1.61708e-15,0.0001
1.61812e-15,0.0001
1.61917e-15,0.0001
1.62022e-15,0.0001
1.62127e-15,0.0001
1.62232e-15,0.0001
1.62338e-15,0.0001
1.62443e-15,0.0001
1.62549e-15,0.0001
1.62655e-15,0.0001
1.6276e-15,0.0001
1.62866e-15,0.0001
1.62973e-15,0.0001
1.63079e-15,0.0001
1.63185e-15,0.0001
1.63292e-15,0.0001
1.63399e-15,0.0001
1.63506e-15,0.0001
1.63613e-15,0.0001
1.6372e-15,0.0001
1.63827e-15,0.0001
1.63934e-15,0.0001
1.64042e-15,0.0001
1.6415e-15,0.0001
1.64258e-15,0.0001
1.64366e-15,0.0001
1.64474e-15,0.0001
1.64582e-15,0.0001
1.6469e-15,0.0001
1.64799e-15,0.0001
1.64908e-15,0.0001
1.65017e-15,0.0001
1.65125e-15,0.0001
1.65235e-15,0.0001
1.65344e-15,0.0001
1.65453e-15,0.0001
1.65563e-15,0.0001
