wavelength,z_bar
3.6e-07,0.0006061
3.61e-07,0.0006808792
3.62e-07,0.0007651456
3.63e-07,0.0008600124
3.64e-07,0.0009665928
3.65e-07,0.001086
3.66e-07,0.001220586
3.67e-07,0.001372729
3.68e-07,0.001543579
3.69e-07,0.001734286
3.7e-07,0.001946
3.71e-07,0.002177777
3.72e-07,0.002435809
3.73e-07,0.002731953
3.74e-07,0.003078064
3.75e-07,0.003486
3.76e-07,0.003975227
3.77e-07,0.00454088
3.78e-07,0.00515832
3.79e-07,0.005802907
3.8e-07,0.006450001
3.81e-07,0.007083216
3.82e-07,0.007745488
3.83e-07,0.008501152
3.84e-07,0.009414544
3.85e-07,0.01054999
3.86e-07,0.0119658
3.87e-07,0.01365587
3.88e-07,0.01558805
3.89e-07,0.01773015
3.9e-07,0.02005001
3.91e-07,0.02251136
3.92e-07,0.02520288
3.93e-07,0.02827972
3.94e-07,0.03189704
3.95e-07,0.03621
3.96e-07,0.04143771
3.97e-07,0.04750372
3.98e-07,0.05411988
3.99e-07,0.06099803
4e-07,0.06785001
4.01e-07,0.07448632
4.02e-07,0.08136156
4.03e-07,0.08915364
4.04e-07,0.09854048
4.05e-07,0.1102
4.06e-07,0.1246133
4.07e-07,0.1417017
4.08e-07,0.1613035
4.09e-07,0.1832568
4.1e-07,0.2074
4.11e-07,0.2336921
4.12e-07,0.2626114
4.13e-07,0.2947746
4.14e-07,0.3307985
4.15e-07,0.3713
4.16e-07,0.4162091
4.17e-07,0.4654642
4.18e-07,0.5196948
4.19e-07,0.5795303
4.2e-07,0.6456
4.21e-07,0.7184838
4.22e-07,0.7967133
4.23e-07,0.8778459
4.24e-07,0.959439
4.25e-07,1.0390501
4.26e-07,1.1153673
4.27e-07,1.1884971
4.28e-07,1.2581233
4.29e-07,1.3239296
4.3e-07,1.3856
4.31e-07,1.4426352
4.32e-07,1.4948035
4.33e-07,1.5421903
4.34e-07,1.5848807
4.35e-07,1.62296
4.36e-07,1.6564048
4.37e-07,1.6852959
4.38e-07,1.7098745
4.39e-07,1.7303821
4.4e-07,1.74706
4.41e-07,1.7600446
4.42e-07,1.7696233
4.43e-07,1.7762637
4.44e-07,1.7804334
4.45e-07,1.7826
4.46e-07,1.7829682
4.47e-07,1.7816998
4.48e-07,1.7791982
4.49e-07,1.7758671
4.5e-07,1.77211
4.51e-07,1.7682589
4.52e-07,1.764039
4.53e-07,1.7589438
4.54e-07,1.7524663
4.55e-07,1.7441
4.56e-07,1.7335595
4.57e-07,1.7208581
4.58e-07,1.7059369
4.59e-07,1.6887372
4.6e-07,1.6692
4.61e-07,1.6475287
4.62e-07,1.6234127
4.63e-07,1.5960223
4.64e-07,1.564528
4.65e-07,1.5281
4.66e-07,1.4861114
4.67e-07,1.4395215
4.68e-07,1.3898799
4.69e-07,1.3387362
4.7e-07,1.28764
4.71e-07,1.2374223
4.72e-07,1.1878243
4.73e-07,1.1387611
4.74e-07,1.090148
4.75e-07,1.0419
4.76e-07,0.9941976
4.77e-07,0.9473473
4.78e-07,0.9014531
4.79e-07,0.8566193
4.8e-07,0.8129501
4.81e-07,0.7705173
4.82e-07,0.7294448
4.83e-07,0.6899136
4.84e-07,0.6521049
4.85e-07,0.6162
4.86e-07,0.5823286
4.87e-07,0.5504162
4.88e-07,0.5203376
4.89e-07,0.4919673
4.9e-07,0.46518
4.91e-07,0.4399246
4.92e-07,0.4161836
4.93e-07,0.3938822
4.94e-07,0.3729459
4.95e-07,0.3533
4.96e-07,0.3348578
4.97e-07,0.3175521
4.98e-07,0.3013375
4.99e-07,0.2861686
5e-07,0.272
5.01e-07,0.2588171
5.02e-07,0.2464838
5.03e-07,0.2347718
5.04e-07,0.2234533
5.05e-07,0.2123
5.06e-07,0.2011692
5.07e-07,0.1901196
5.08e-07,0.1792254
5.09e-07,0.1685608
5.1e-07,0.1582
5.11e-07,0.1481383
5.12e-07,0.1383758
5.13e-07,0.1289942
5.14e-07,0.1200751
5.15e-07,0.1117
5.16e-07,0.1039048
5.17e-07,0.09666748
5.18e-07,0.08998272
5.19e-07,0.08384531
5.2e-07,0.07824999
5.21e-07,0.07320899
5.22e-07,0.06867816
5.23e-07,0.06456784
5.24e-07,0.06078835
5.25e-07,0.05725001
5.26e-07,0.05390435
5.27e-07,0.05074664
5.28e-07,0.04775276
5.29e-07,0.04489859
5.3e-07,0.04216
5.31e-07,0.03950728
5.32e-07,0.03693564
5.33e-07,0.03445836
5.34e-07,0.03208872
5.35e-07,0.02984
5.36e-07,0.02771181
5.37e-07,0.02569444
5.38e-07,0.02378716
5.39e-07,0.02198925
5.4e-07,0.0203
5.41e-07,0.01871805
5.42e-07,0.01724036
5.43e-07,0.01586364
5.44e-07,0.01458461
5.45e-07,0.0134
5.46e-07,0.01230723
5.47e-07,0.01130188
5.48e-07,0.01037792
5.49e-07,0.009529306
5.5e-07,0.008749999
5.51e-07,0.0080352
5.52e-07,0.0073816
5.53e-07,0.0067854
5.54e-07,0.0062428
5.55e-07,0.005749999
5.56e-07,0.0053036
5.57e-07,0.0048998
5.58e-07,0.0045342
5.59e-07,0.0042024
5.6e-07,0.0039
5.61e-07,0.0036232
5.62e-07,0.0033706
5.63e-07,0.0031414
5.64e-07,0.0029348
5.65e-07,0.002749999
5.66e-07,0.0025852
5.67e-07,0.0024386
5.68e-07,0.0023094
5.69e-07,0.0021968
5.7e-07,0.0021
5.71e-07,0.002017733
5.72e-07,0.0019482
5.73e-07,0.0018898
5.74e-07,0.001840933
5.75e-07,0.0018
5.76e-07,0.001766267
5.77e-07,0.0017378
5.78e-07,0.0017112
5.79e-07,0.001683067
5.8e-07,0.001650001
5.81e-07,0.001610133
5.82e-07,0.0015644
5.83e-07,0.0015136
5.84e-07,0.001458533
5.85e-07,0.0014
5.86e-07,0.001336667
5.87e-07,0.00127
5.88e-07,0.001205
5.89e-07,0.001146667
5.9e-07,0.0011
5.91e-07,0.0010688
5.92e-07,0.0010494
5.93e-07,0.0010356
5.94e-07,0.0010212
5.95e-07,0.001
