wavelength,k
2e-07,1.1e-07
2.25e-07,4.9e-08
2.5e-07,3.35e-08
2.75e-07,2.35e-08
3e-07,1.6e-08
3.25e-07,1.08e-08
3.5e-07,6.5e-09
3.75e-07,3.5e-09
4e-07,1.86e-09
4.25e-07,1.3e-09
4.5e-07,1.02e-09
4.75e-07,9.35e-10
5e-07,1e-09
5.25e-07,1.32e-09
5.5e-07,1.96e-09
5.75e-07,3.6e-09
6e-07,1.09e-08
6.25e-07,1.39e-08
6.5e-07,1.64e-08
6.75e-07,2.23e-08
7e-07,3.35e-08
7.25e-07,9.15e-08
7.5e-07,1.56e-07
7.75e-07,1.48e-07
8e-07,1.25e-07
8.25e-07,1.82e-07
8.5e-07,2.93e-07
8.75e-07,3.91e-07
9e-07,4.86e-07
9.25e-07,1.06e-06
9.5e-07,2.93e-06
9.75e-07,3.48e-06
1e-06,2.89e-06
1.2e-06,9.89e-06
1.4e-06,0.000138
1.6e-06,8.55e-05
1.8e-06,0.000115
2e-06,0.0011
2.2e-06,0.000289
2.4e-06,0.000956
2.6e-06,0.00317
2.65e-06,0.0067
2.7e-06,0.019
2.75e-06,0.059
2.8e-06,0.115
2.85e-06,0.185
2.9e-06,0.268
2.95e-06,0.298
3e-06,0.272
3.05e-06,0.24
3.1e-06,0.192
3.15e-06,0.135
3.2e-06,0.0924
3.25e-06,0.061
3.3e-06,0.0368
3.35e-06,0.0261
3.4e-06,0.0195
3.45e-06,0.0132
3.5e-06,0.0094
3.6e-06,0.00515
3.7e-06,0.0036
3.8e-06,0.0034
3.9e-06,0.0038
4e-06,0.0046
4.1e-06,0.00562
4.2e-06,0.00688
4.3e-06,0.00845
4.4e-06,0.0103
4.5e-06,0.0134
4.6e-06,0.0147
4.7e-06,0.0157
4.8e-06,0.015
4.9e-06,0.0137
5e-06,0.0124
5.1e-06,0.0111
5.2e-06,0.0101
5.3e-06,0.0098
5.4e-06,0.0103
5.5e-06,0.0116
5.6e-06,0.0142
5.7e-06,0.0203
5.8e-06,0.033
5.9e-06,0.0622
6e-06,0.107
6.1e-06,0.131
6.2e-06,0.088
6.3e-06,0.057
6.4e-06,0.0449
6.5e-06,0.0392
6.6e-06,0.0356
6.7e-06,0.0337
6.8e-06,0.0327
6.9e-06,0.0322
7e-06,0.032
7.1e-06,0.032
7.2e-06,0.0321
7.3e-06,0.0322
7.4e-06,0.0324
7.5e-06,0.0326
7.6e-06,0.0328
7.7e-06,0.0331
7.8e-06,0.0335
7.9e-06,0.0339
8e-06,0.0343
8.2e-06,0.0351
8.4e-06,0.0361
8.6e-06,0.0372
8.8e-06,0.0385
9e-06,0.0399
9.2e-06,0.0415
9.4e-06,0.0433
9.6e-06,0.0454
9.8e-06,0.0479
1e-05,0.0508
1.05e-05,0.0662
1.1e-05,0.0968
1.15e-05,0.142
1.2e-05,0.199
1.25e-05,0.259
1.3e-05,0.305
1.35e-05,0.343
1.4e-05,0.37
1.45e-05,0.388
1.5e-05,0.402
1.55e-05,0.414
1.6e-05,0.422
1.65e-05,0.428
1.7e-05,0.429
1.75e-05,0.429
1.8e-05,0.426
1.85e-05,0.421
1.9e-05,0.414
1.95e-05,0.404
2e-05,0.393
2.1e-05,0.382
2.2e-05,0.373
2.3e-05,0.367
2.4e-05,0.361
2.5e-05,0.356
2.6e-05,0.35
2.7e-05,0.344
2.8e-05,0.338
2.9e-05,0.333
3e-05,0.328
3.2e-05,0.324
3.4e-05,0.329
3.6e-05,0.343
3.8e-05,0.361
4e-05,0.385
4.2e-05,0.409
4.4e-05,0.436
4.6e-05,0.462
4.8e-05,0.488
5e-05,0.514
6e-05,0.587
7e-05,0.576
8e-05,0.547
9e-05,0.536
0.0001,0.532
0.00011,0.531
0.00012,0.526
0.00013,0.514
0.00014,0.5
0.00015,0.495
0.00016,0.496
0.00017,0.497
0.00018,0.499
0.00019,0.501
0.0002,0.504
